OBJECTID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,NonContrib,NonContr_1,AreaSqKm,AreaAcres,GNIS_ID,Name,States,HUC12,HUType,HUMod,ToHUC,HUC4,HUC6,HUC8,HUC10,HUC4_Name,HUC6_Name,HUC8_Name,HUC10_Name,Shape_Leng,Shape_Area,test_count,test_sum,test_mean
"53",{B4521BE8-0201-4EF1-952B-5F030B91595D},{6412D163-3624-470E-902A-64079F9BFE1F},,,,2017-10-17,"0","0",107.620000000000005,26593.099999999998545,,Little Hunting Creek-Potomac River,"DC,MD,VA","020700100307",S,NM,"020700100805","0207","020700","02070010","0207001003",Potomac,Potomac,Middle Potomac-Anacostia-Occoquan,Cameron Run-Potomac River,84600.274860781748430,177107003.247940659523010,119589.000000000000000,35825.000000000000000,0.299567685991186
"54",{47BFA607-47D6-4685-87E6-98FD7591A140},{ED602145-9201-4827-9CE1-05D252484579},,,,2017-10-03,"0","0",90.189999999999998,22286.759999999998399,,Chesapeake and Delaware Canal-Frontal Delaware River,DE,"020402050705",F,"BC,IT,OT","020402040000","0204","020402","02040205","0204020507",Delaware-Mid Atlantic Coastal,Lower Delaware,Brandywine-Christina,Chesapeake and Delaware Canal-Frontal Delaware River,12948.588231747105965,4213.015245223756210,5.000000000000000,0.000000000000000,0.000000000000000
"55",{BE61CACE-A87D-4D66-9EE9-15A26186D372},{ED602145-9201-4827-9CE1-05D252484579},,,,2017-10-03,"0","0",124.569999999999993,30783.000000000000000,,Appoquinimink River-Frontal Delaware River,DE,"020402050802",F,NM,"020402040000","0204","020402","02040205","0204020508",Delaware-Mid Atlantic Coastal,Lower Delaware,Brandywine-Christina,Appoquinimink River-Frontal Delaware River,14479.277633388677714,3527.003330726164222,2.336089142670414,0.000000000000000,0.000000000000000
"56",{0DC4AE31-EC7E-4D02-A830-C3BD212023AC},{ED602145-9201-4827-9CE1-05D252484579},,,,2017-10-03,"0","0",90.640000000000001,22397.450000000000728,,Blackbird Creek-Frontal Delaware River,DE,"020402050803",F,NM,"020402040000","0204","020402","02040205","0204020508",Delaware-Mid Atlantic Coastal,Lower Delaware,Brandywine-Christina,Appoquinimink River-Frontal Delaware River,13030.883871885385815,4045.272739762750462,2.000000000000000,0.000000000000000,0.000000000000000
"57",{4ED50F92-3BA0-4B60-9420-6223933AE0CE},,,,,2013-01-18,"0","0",92.579999999999998,22878.110000000000582,,Duck Creek,DE,"020402070101",S,NM,"020402070102","0204","020402","02040207","0204020701",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Smyrna River-Frontal Delaware Bay,16387.921696948713361,4949.344255135604726,3.000000000000000,0.000000000000000,0.000000000000000
"58",{04F7E469-2238-4BF0-9A98-BE6A8B3F0006},,,,,2013-01-18,"0","0",73.950000000000003,18272.330000000001746,,Upper Leipsic River,DE,"020402070201",S,NM,"020402070202","0204","020402","02040207","0204020702",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Leipsic River-Frontal Delaware Bay,9912.162993493755494,3028.028407326260549,3.000000000000000,0.000000000000000,0.000000000000000
"59",{64165D88-A861-48EE-B1E7-E6B80699FA19},,,,,2013-01-18,"0","0",99.379999999999995,24556.580000000001746,,Upper Saint Jones River,DE,"020402070301",S,NM,"020402070304","0204","020402","02040207","0204020703",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Saint Jones River,15448.152943185621552,5544.015493720295126,3.000000000000000,0.000000000000000,0.000000000000000
"60",{892F31E1-B716-4F7F-B1AB-64F9D3EA4238},,,,,2013-01-18,"0","0",36.570000000000000,9037.370000000000800,,Issac Branch,DE,"020402070302",S,DM,"020402070304","0204","020402","02040207","0204020703",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Saint Jones River,20982.576502908039402,6502.466407783884279,7.000000000000000,0.000000000000000,0.000000000000000
"61",{FF6AB0DD-4B75-40D8-81D9-7AC2F0ACE65E},,,,,2013-01-18,"0","0",25.460000000000001,6290.199999999999818,,Tidbury Creek,DE,"020402070303",S,NM,"020402070304","0204","020402","02040207","0204020703",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Saint Jones River,6521.699094736197367,1963.276801332372997,1.313178295087563,0.000000000000000,0.000000000000000
"62",{6A4BA3A4-E032-4DD9-B12A-CE6233101D96},,,,,2013-01-18,"0","0",96.799999999999997,23919.979999999999563,,Mataponi Creek-Patuxent River,MD,"020600060502",S,TF,"020600060504","0206","020600","02060006","0206000605",Upper Chesapeake,Upper Chesapeake,Patuxent,Middle Patuxent River,76859.371456588691217,159330209.700878173112869,107560.000000000000000,5704.000000000000000,0.053030866493120
