,Station,Latitude,Longitude
53641,SMNT13,38.20167,-76.41917
53646,SMNT14,38.16239,-76.40046
53651,SMT02,38.21017,-76.46566999999997
53655,SMT04,38.18867,-76.43984
53659,SMT06,38.151,-76.4495
53663,SMT07,38.11183,-76.44334
53667,SMT09,38.16517,-76.52
53671,SMT10,38.16567,-76.41766
53675,TBK01,38.91789,-77.12054
53705,TBR01,38.94528,-77.05111
53735,TCO01,38.89456,-77.0747
53807,TCO06,38.92761,-77.10136
53881,TDA01,38.92872,-77.12193
53910,TDO01,38.91556,-77.05972
53940,TDU01,38.88345,-76.97636
53970,TF1.0,38.95557,-76.69411
54169,TF1.2,38.8143,-76.75086999999998
54659,TF1.3,38.81092,-76.71226999999998
54857,TF1.4,38.77302,-76.70926999999998
55055,TF1.5,38.71012,-76.70146
55216,TF1.6,38.65845,-76.68381
55413,TF1.7,38.58211,-76.68101
55614,TF2.1,38.70664,-77.04876
55823,TF2.2,38.69067,-77.11111
56032,TF2.3,38.6082,-77.1739
56262,TF2.4,38.5301,-77.2654
56493,TF3.0,38.32236,-77.51805999999998
56787,TF3.1B,38.24628,-77.23344
56955,TF3.1E,38.24469000000001,-77.32508
57123,TF3.1F,38.26953,-77.42896999999998
57247,TF3.2,38.17467,-77.18661
57415,TF3.2A,38.11295,-77.05481999999998
57569,TF3.3,38.01847,-76.90928000000002
57723,TF4.0M,37.88389,-77.16528000000002
58023,TF4.0P,37.7675,-77.3325
58323,TF4.2,37.57999,-77.02128
58495,TF4.4,37.7228,-77.02566
58666,TF5.0A,37.22445,-77.47555
58954,TF5.0J,37.67111,-78.0858
59252,TF5.2,37.5305,-77.434
59422,TF5.2A,37.45,-77.41883
59588,TF5.3,37.4031,-77.39272
59754,TF5.4,37.3124,-77.29133
59920,TF5.5,37.31265,-77.23283
60086,TF5.5A,37.30165,-77.1284
60251,TF5.6,37.27272,-76.99056999999998
60416,TFB02,38.93417,-77.07889
60439,TFC01,38.88678,-76.9372
60468,TFD01,38.87011,-76.95803000000002
60496,TFE01,39.0125,-77.04361
60522,TFS01,38.86678,-76.9747
60547,THA000.07,36.85138,-76.12708
60556,THR01,38.90844,-76.9622
60647,TKV01,38.93306,-77.05111
60675,TLU01,38.9621,-77.04135
60704,TMH01,38.93781,-77.05304
60733,TMI01,38.94577,-77.10293
60773,TNA01,38.91011,-76.94136
60803,TNS01,38.91917,-77.05611
60833,TOC0037,39.70636,-78.15275
60929,TOR01,38.83178,-77.04081
60959,TOW0030,39.55304,-78.55339000000002
61227,TPB01,38.88678,-76.97636
61257,TPI01,38.97111,-77.04417
61286,TPO01,38.98841,-77.04135
61315,TPY01,38.93528,-77.04778
61342,TRQ0088,38.41722,-75.99361
61457,TRQ0146,38.46556,-76.00056
61559,TRQ0203,38.51300000000001,-75.968
61593,TRQ0224,38.555,-75.936
61627,TSK000.23,37.41497,-76.71441
62037,TSO01,38.9449,-77.05174
62065,TTX27,38.86845,-76.96914
62090,TUK0022,38.8312,-75.9143
62111,TUK0181,38.96713,-75.94312
62395,TWB01,38.90345,-76.94553
62481,TWB05,38.894,-76.9147
62571,TWB06,38.89372,-76.93191999999998
62662,UMC001.78,38.31697,-77.05922
62683,WAR001.58,37.37997,-76.43552
62771,WAR004.62,37.39653,-76.47943000000002
62798,WBB05,36.82917,-76.39583
62953,WBE1,36.8432,-76.35939
63106,WCK0001,39.48172,-76.34053
63261,WE4.1,37.31181,-76.34634
63469,WE4.2,37.24181,-76.38634
63680,WE4.3,37.17681,-76.373
63885,WE4.4,37.11015,-76.293
64089,WES000.18,38.02855,-76.5509
64180,WES001.66,36.87361,-76.10696
64189,WES001.68,36.87333,-76.1075
64198,WES002.98,36.85732,-76.12025
64216,WIL0013,39.66185,-78.78029000000002
64665,WIL0065,39.7185,-78.77096999999998
64726,WIW0089,38.2966,-75.7585
64747,WIW0141,38.34153,-75.69569
64913,WIW0144,38.3422,-75.6892
64977,WIW0198,38.3519,-75.6198
64998,WQN0201,40.05454,-76.5308
65289,WQN0202,40.25481,-76.88609
65418,WQN0203,40.8515,-76.80709
65550,WQN0204,39.90528,-76.32777
65726,WQN0210,40.08232,-76.71969
65906,WQN0212,40.22472,-76.89833
66060,WQN0214,40.47842,-77.12915
66361,WQN0217,40.61257,-78.14056
66514,WQN0223,40.21583,-78.26556
66684,WQN0224,40.46314,-78.19973
66836,WQN0226,40.61111,-76.91221999999998
66980,WQN0229,40.86667,-77.04861
67152,WQN0243,40.32342,-77.16859000000002
67334,WQN0259,39.77302,-76.3162
67461,WQN0263,39.6903,-76.1281
67627,WQN0269,40.15111,-76.68944
67781,WQN0271,40.25222,-77.02139
67965,WQN0272,40.29842,-76.66747
68148,WQN0273,39.94649,-76.36774
68444,WQN0278,40.19528,-76.56778
68598,WQN0280,39.99594,-76.26403
68743,WQN0281,40.30842,-76.84942
68886,WQN0282,40.30833,-76.85
69028,WQN0283,40.24276,-76.85709
69039,WQN0284,40.00917000000001,-76.16221999999998
69168,WQN0285,40.34239,-76.5611
69297,WQN0286,40.05226,-76.65446
69426,WQN0301,40.95814,-76.61912
69734,WQN0302,41.25083,-75.88110999999998
69910,WQN0305,41.76535,-76.4405
70212,WQN0317,40.65472000000001,-77.58333
70343,WQN0401,40.96814000000001,-76.8733
70647,WQN0404,41.1175,-78.10916999999998
70813,WQN0410,41.28314,-77.32216
70949,WQN0445,41.1268,-77.4332
71093,WQN0448,41.20222,-77.25139
71256,WQN0462,40.97459,-76.80011999999998
71382,WQN0501,39.7164,-76.1752
71473,WQN0509,39.67769000000001,-78.03653
71554,WQN0510,39.70636,-78.15275
71631,WQN0511,39.71661,-77.60794
71696,WQN0512,39.64953,-78.3441
71768,WQN0513,39.5532,-78.555
71822,WT1.1,39.43511,-76.24205
71994,WT2.1,39.37747,-76.33465
72166,WT3.1,39.30538,-76.40954
72335,WT4.1,39.27755,-76.44368
72524,WT5.1,39.21309,-76.52254
72736,WT6.1,39.07851,-76.51005
72902,WT7.1,39.00764,-76.5035
73075,WT8.1,38.9496,-76.5461
73258,WT8.2,38.88696,-76.5349
73441,WT8.3,38.8425,-76.5341
73624,WXT0001,38.78538,-76.71343
73820,WXT0013,38.796,-76.7208
74105,XAJ5327,37.92197,-75.78777
74127,XAJ7035,37.95025,-75.77557
74148,XAJ7384,37.95535,-75.69051999999998
74169,XAJ8271,37.97073,-75.71486999999998
74190,XAK7810,37.96395,-75.65047
74297,XBD9558,38.1588,-76.7368
74304,XBE2100,38.0348,-76.5012
74311,XBE5486,38.0905,-76.5227
74320,XBE6753,38.1106,-76.5785
74341,XBE6983,38.115,-76.5283
74355,XBE8396,38.1378,-76.5058
74441,XBE9300,38.1543,-76.6659
74448,XBF0320,38.0056,-76.4679
74454,XBF0956,38.12,-76.41
74461,XBF2099,38.033,-76.3355
74536,XBF3534,38.0595,-76.444
74556,XBF5231,38.0867,-76.4483
74577,XBF6734,38.11183,-76.44334
74585,XBF6843,38.1135,-76.4285
74603,XBF6903,37.9483,-76.3283
74622,XBF7254,38.12,-76.41
74629,XBF7495,38.12348,-76.34307
